Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
601,618,30-39,Graduate,Female,,<25000,false,true,false,false,false,,rec,properties first,Very Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Disagree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree
602,430,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,rec,fairness first,Somewhat Fair,Agree,Agree,Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Unfair,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Unfair,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral
603,1140,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree
604,1453,30-39,Graduate,Female,,<25000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Neutral,Neutral,Somewhat Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Unfair,Agree,Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Neutral
605,533,18-29,Bachelor,Female,,>100000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Unfair,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Unfair,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree
606,809,40-49,Graduate,Female,,>100000,false,false,false,true,false,,rec,fairness first,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Very Fair,Agree,,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Very Unfair,Disagree,Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Very Unfair,Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral
607,745,60-69,Graduate,Male,,>100000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Neutral,Neutral,Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Fair,Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral
608,501,40-49,Bachelor,Female,,25000-50000,false,true,false,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Very Unfair,Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Neutral,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
609,1479,30-39,High School,Male,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Very Fair,Agree,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Fair,Somewhat Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Unfair,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Unfair,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Unfair,Agree,Strongly Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree
610,1145,30-39,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Very Unfair,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Unfair,Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Fair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Very Unfair,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
612,642,30-39,High School,Male,,25000-50000,false,false,false,true,false,,rec,properties first,Fair,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Unfair,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Neutral
613,916,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Very Fair,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Strongly Agree
614,2013,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Neutral,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Very Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Unfair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Neutral,Very Unfair,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Very Unfair,Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Agree,Agree,Agree
615,2290,30-39,High School,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Somewhat Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Fair,Disagree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Very Unfair,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree
616,731,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,Fair,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
617,1009,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,rec,fairness first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Disagree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,,Agree,Agree,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Unfair,Neutral,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Very Unfair,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Agree
618,749,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree
619,1872,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Fair,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Fair,Strongly Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree
620,904,30-39,High School,Male,,<25000,false,false,false,true,false,,rec,properties first,Fair,Neutral,Neutral,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Unfair,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Very Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Very Unfair,Agree,Neutral,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
